,claim,label
0,"A video is circulating on the Internet claiming that masks used to contain the corona pandemic are harmful to health (archived here). ""When we breathe back our exhaled air, there is an inevitable lack of oxygen and a flooding of carbon dioxide,"" it says (from minute 3:10). Such a deficiency harms the brain and inhibits its development. For children and young people in particular, masks are an absolute â€œno-noâ€ (8:50). Because the resulting damage cannot be reversed, warns the woman in the video. She describes herself as a neurologist and claims to work in Germany and London.",0
4066,Russia has gifted 1 million doses of Covid vaccine to Pakistan. WHO has called it Phase III trials.,0
4065,Amit Shah has tested negative for COVID-19.,0
4064,The Â£300m Track and Trace app has quietly been binned.,0
4063,"A Facebook post circulates in which ICU doctors are accused of killing Covid-19 patients by placing them in a prone position during intubation and mechanical ventilation, a position that users believe would be discouraged. The post was copied from websites and passed off as news.",0
4062,The anti-Covid regulations will prevent pupils from returning home if they have symptoms,0
4061,Photo shows Putin's daughter receiving COVID-19 vaccine,0
4060,"""Covid-Organics, improved traditional remedy based on artemisia & endemic plants, curative & preventive against #Covid19, is launched!â€",0
4059,Most people are immune to the virus that causes covid-19,0
4068,Venezuela will be the first western country to have Russian vaccine against coronavirus,0
4058,"Scoundrel! The bastard DÃ³ria just declared that he is taking the chloroquine, bastard, killed hundreds of Paulistas brothers",0
4056,"A woman was hospitalised with suspected Covid-19, only for her illness to be shown to be Legionnairesâ€™ disease caught from a mask.",0
4055,Dont buy and eat all kinds of vegetables and fruits from USA.. Singapore has prohibited people. The reason is that USA uses these trucks to carry dead bodies of Covid. Lets carry food. Will mix these foods. Cherry from America Central. Hurry up to sell. We need to stop buying on sale. So scary.,0
4054,Ukraine to buy Russian vaccine against COVID-19 through Israel,0
4053,The photo shows the latest migrants taken into England.,0
4051,Colombia bought 16 million doses of Pfizer vaccine against coronavirus,0
4050,The COVID-19 pandemic is a lie,0
4049,"Nagpur""s # Medical Hospital Corona""s excuse of death, I put Jinde""s post mortem in real. And the kidney kidneys were all removed. # Careful_india # COVID19 # COVID19India """,0
4048,Photo shows Putin's daughter receiving COVID-19 vaccine,0
4057,"The bastard DÃ³ria just declared that he is taking chloroquine, unfortunate, killed hundreds of Paulistas.",0
4047,"Russian President Vladimir Putinâ€™s daughter died on August 15th, 2020, after taking a dose of a new COVID-19 vaccine.",0
4069,For every 100 inhabitants in IbaguÃ© there are 11 infected with Covid-19,0
4071,Photo shows Putin's daughter receiving COVID-19 vaccine,0
4093,Pranab Mukherjee died of Kovid,0
4092,Photo shows Putin's daughter receiving COVID-19 vaccine,0
4091,Video claims police thrashed a man for hoisting blue flag instead of National flag on Independence Day,0
4090,[0] Russian Video Winning C19 Vaccine Manufacturing,0
4089,US army band played Indian National anthem on the occasion of Independence Day,0
4088,Fact check: Claim that children can be taken away for Covid test without parental consent in the UK is 0,0
4084,"1 claims about the effectiveness of masks, PCR tests, and vaccines",0
4083,"[0] Video ""Olympic fireworks are shown at this time because the Tokyo Olympics was postponed due to covid-19""",0
4070,â€œREVIRAVOLTA: USP PROVE THAT PERSONS IN CONFINEMENT ARE MORE VULNERABLE TO CONTAMINATION BY COVIDâ€,0
4082,Coronavirus: sedated because they tried to save themselves?,0
4080,"Under the ""COVID Act,"" school officials in the U.S. can quarantine children with COVID-19 symptoms outside their family home without their parents' or guardians' consent.",0
4079,"A video appeared on social media that allegedly captures the moment when a daughter of the President of Russia takes the so-called ""Sputnik V"" vaccine against the disease caused by the new SARS-CoV-2 coronavirus.",0
4078,"Posting on a Facebook page says that it is not ethical or human to use the ""Chinese vaccine that Rui Costa (PT) wants to test in the Bahian population""",0
4076,At least 800 people have died because of coronavirus misinformation so far this year.,0
4075,A Facebook post claims that Prime Minister Jacinda Ardern declared New Zealand COVID-19 free during a visit to a Hindu temple in Auckland on August 6.,0
4074,"Presidential Spokesperson Harry Roque said 10 million COVID-19 cases in the Philippines â€œwill not be a lossâ€ even if 10,000 people die.",0
4073,"Russian President Vladimir Putinâ€™s daughter died on August 15th, 2020, after taking a dose of a new COVID-19 vaccine.",0
4072,Photo shows Putin's daughter receiving COVID-19 vaccine,0
4081,"As New Zealand has become the first country to become Coronavirus free, a video is doing the rounds on the internet in which New Zealand Prime Minister, Jacinda Ardern, can be seen visiting a temple. It is being claimed that the video was shot recently when she had visited a temple after declaring her country COVID-19 free.",0
4094,"British Prime Minister Boris Johnson""s wife worships at the Narayan Temple in London after losing Corona.",0
4046,BJP MP Alphons Kannanthanam violated the Covid-19 protocol by sending his mother's dead body to Kerala for the funeral without revealing she died of Covid-19.,0
4044,Obesity affects two in every five Kenyans.,0
4014,Thousands of Seattle Democrats demanded mail-in voting as in-person voting is dangerous due to COVID-19 pandemic.,0
4013,"The second daughter of Russian President Vladimir Putin died after getting a second dose of Sputnik V, Russia's COVID-19 vaccine.",0
4012,Video claims Muslims are resorting to violence in Bangalore,0
4011,Video claims Muslims are resorting to violence in Bengaluru,0
4010,Sushant Singh Rajput was murdered to usurp the idea of a machine which could diagnose corona infection using voice sample. Actor Akshay Kumar and Maharashtra minister Aaditya Thackeray recently launched the same device.,0
4008,Video claims that a group of Hindu men thrashed Muslims who were trying to obstruct them from installing Ganpati idol,0
4007,"The second daughter of Russian President Vladimir Putin died after getting a second dose of Sputnik V, Russia's COVID-19 vaccine.",0
4006,Photos show the aftermath of Mount Sinabungs eruption.,0
4016,Children are immune or â€œalmost immuneâ€ to COVID-19 and therefore are not at risk from school re-openings.,0
4005,79.7% of contacts of people who test positive for Covid-19 are reached.,0
4002,In the USA they have renamed the coronavirus to simple flu.,0
4001,Video on social media claims visuals of violent clashes are from Bengaluru,0
3999,South Africa has the fifth-highest Covid-19 infection rate in the world.,0
3998,Video of a protest against COVID-19 and the New World Order in South Korea,0
3997,"If a child tests positive for the Covid-19 virus, he is ""automatically"" separated from his family and evacuated to a ""quarantine zone""",0
3995,"Vaccines have killed millions, the corona virus is not natural, hospitals are paid to report diagnoses of COVID-19, flu vaccines increase the risk of COVID-19, wearing masks is harmful",0
3993,More road deaths than Covid-19 deaths in July 2020,0
3992,"A new Covid-19 vaccine was tested on fit young military men. Of the 15 tested, 8 went to intensive care, 3 on ventilators and 5 people, four of them servicemen, are dead.",0
4003,"The Corona Covid-19 virus was made in the Chinese Communist Party""s military laboratory",0
4045,Nurse made video stating that ivermectin saves lives against covid-19,0
4017,"Dr. Anthony Fauci, the nationâ€™s leading infectious disease expert, has made two conflicting suggestions: 1) that the drug Hydroxychloroquine is not a recommended treatment for COVID-19 because a major study has not been done on it and 2) the COVID-19 vaccine should be rushed through development without proper clinical trials.",0
4019,"The Centers for Disease Control and Prevention applied for an ""illegal"" patent related to the virus that causes SARS.",0
4042,"Russian President Vladimir Putinâ€™s daughter died on August 15th, 2020, after taking a dose of a new COVID-19 vaccine.",0
4040,President Trump suggested that Americans drink disinfectant to protect against COVID-19.,0
4039,"Masks are ineffective in slowing the spread of COVID-19, and can cause hypercapnia.",0
4038,Arthur Weintraub hinted at fraud in covid-19 death records,0
4037,purports to show a series of photographs from a rally former Vice President Joe Biden allegedly held to announce his 2020 running mate in which he and other Democrats are disregarding coronavirus precautions.,0
4036,Fraud in the registry of deaths caused by covid-19,0
4035,Medicines to take in case of symptoms of Covid-19,0
4034,"After China, Russia Gifts Pakistan 1 million COVID vaccines. WHO calls this 'human trial phase 3'.",0
4018,"The second daughter of Russian President Vladimir Putin died after getting a second dose of Sputnik V, Russia's COVID-19 vaccine.",0
4033,"Quebec girl died after sepsis from urinary tract infection, but was counted by hospital as a Covid-19-related death",0
4031,At the Cotugno hospital in Naples the beds for Covid patients are exhausted,0
4030,A twenty-year-old from the north of the capital is hospitalized at the Spallanzani Hospital in Rome with Covid-19 pneumonia after having been for a week in Sardinia and having intensively attended clubs in Porto Cervo,0
4029,Study proved the effectiveness of ivermectin in the treatment of covid-19,0
4027,Demonstration against anti-Covid-19 restriction measures in South Korea,0
4026,"The second daughter of Russian President Vladimir Putin died after getting a second dose of Sputnik V, Russia's COVID-19 vaccine.",0
